check, 0.036856, 0.019667
size, 0.001220, 0.000000
forget, 0.001464, 0.000000
yyz, 0.001342, 0.000000
gotten, 0.001953, 0.000000
comput, 0.005736, 0.000000
somebodi, 0.001220, 0.000000
emerg, 0.001464, 0.000000
idiot, 0.001342, 0.000000
non, 0.002929, 0.000000
flightd, 0.002075, 0.000000
hous, 0.001220, 0.000000
begin, 0.001587, 0.000000
honest, 0.002441, 0.000000
ahead, 0.001342, 0.000000
mistak, 0.002441, 0.000000
unbeliev, 0.002197, 0.000000
myself, 0.002563, 0.000000
liter, 0.002807, 0.000000
disappear, 0.001342, 0.000000
unitedairlin, 0.004760, 0.000000
suitcas, 0.002563, 0.000000
control, 0.003173, 0.000000
real, 0.005980, 0.000000
screw, 0.005614, 0.000000
fund, 0.001587, 0.000000
jetway, 0.001831, 0.000000
unaccept, 0.010618, 0.000000
cab, 0.001709, 0.000000
wast, 0.006224, 0.000000
frozen, 0.001464, 0.000000
certain, 0.001953, 0.000000
exit, 0.001709, 0.000000
counter, 0.004760, 0.000000
doubt, 0.001220, 0.000000
load, 0.006346, 0.000000
fyi, 0.001342, 0.000000
doubl, 0.001464, 0.000000
known, 0.001342, 0.000000
economi, 0.001342, 0.000000
empti, 0.004760, 0.000000
previous, 0.001953, 0.000000
woman, 0.001464, 0.000000
knew, 0.003295, 0.000000
terribl, 0.012448, 0.000000
train, 0.004638, 0.000000
reward, 0.001831, 0.000000
water, 0.003783, 0.000000
appear, 0.001709, 0.000000
buffalo, 0.001220, 0.000000
tampa, 0.001220, 0.000000
learn, 0.003905, 0.000000
twice, 0.007567, 0.000000
major, 0.002197, 0.000000
accord, 0.001587, 0.000000
fuel, 0.001587, 0.000000
arent, 0.005248, 0.000000
walk, 0.002441, 0.000000
explan, 0.002929, 0.000000
frm, 0.001220, 0.000000
serv, 0.003173, 0.000000
insult, 0.001587, 0.000000
coach, 0.001587, 0.000000
damag, 0.002929, 0.000000
blame, 0.003051, 0.000000
fuck, 0.005492, 0.000000
repres, 0.002197, 0.000000
notifi, 0.003051, 0.000000
along, 0.001342, 0.000000
waiv, 0.001464, 0.000000
track, 0.002685, 0.000000
upset, 0.004393, 0.000000
solut, 0.002319, 0.000000
sens, 0.003539, 0.000000
bus, 0.001953, 0.000000
near, 0.002441, 0.000000
matter, 0.003051, 0.000000
manag, 0.004760, 0.000000
shitti, 0.001220, 0.000000
bump, 0.003539, 0.000000
yep, 0.001220, 0.000000
five, 0.001220, 0.000000
sell, 0.002075, 0.000000
faster, 0.001342, 0.000000
consist, 0.002075, 0.000000
sick, 0.002197, 0.000000
crappi, 0.001709, 0.000000
select, 0.003417, 0.000000
state, 0.003051, 0.000000
door, 0.004027, 0.000000
fit, 0.001831, 0.000000
rental, 0.001587, 0.000000
design, 0.001220, 0.000000
push, 0.002807, 0.000000
fire, 0.001587, 0.000000
merger, 0.002441, 0.000000
tmrw, 0.001709, 0.000000
internet, 0.001587, 0.000000
transfer, 0.003905, 0.000000
stress, 0.001831, 0.000000
ugh, 0.001953, 0.000000
bna, 0.002441, 0.000000
broken, 0.007567, 0.000000
cannot, 0.005370, 0.000000
given, 0.006346, 0.000000
offici, 0.001831, 0.000000
stand, 0.003173, 0.000000
fine, 0.003783, 0.000000
step, 0.002807, 0.000000
rerout, 0.002441, 0.000000
werent, 0.002563, 0.000000
